lad_code,transaction_count,median_price_ppd,mean_price_ppd,lower_quartile_ppd,lad_name,region_code,region_name,median_price_ons,median_earnings,affordability_ratio,imd_score_wtd
E07000140,1547,235000.0,255478.1047188106,185000.0,South Holland,E12000004,East Midlands,220000.0,27809.0,8.450501636160956,17.896494865472082
E07000141,2223,265000.0,310458.8025191183,195347.5,South Kesteven,E12000004,East Midlands,239950.0,28724.0,9.225734577356912,13.498579898978305
E07000142,1502,228000.0,252586.64447403463,160000.0,West Lindsey,E12000004,East Midlands,208000.0,30000.0,7.6,20.354826394715893
E07000143,2231,270746.0,304963.793814433,210000.0,Breckland,E12000006,East of England,250000.0,28303.0,9.565982404692082,19.61419451430776
E07000144,2232,300000.0,330626.2168458781,248000.0,Broadland,E12000006,East of England,280000.0,32576.0,9.209233791748527,11.816581168164515
E07000145,1434,220000.0,236720.4470013947,165000.0,Great Yarmouth,E12000006,East of England,205000.0,26484.0,8.306902280622262,33.09689619226284
E07000146,2147,265000.0,316666.4420121099,200000.0,King's Lynn and West Norfolk,E12000006,East of England,250000.0,30544.0,8.676008381351492,23.720353065231617
E07000147,1668,310000.0,355806.35491606715,225000.0,North Norfolk,E12000006,East of England,290000.0,26296.0,11.788865226650442,21.057617396131594
E07000148,1768,235000.0,269935.36029411765,184000.0,Norwich,E12000006,East of England,219000.0,28457.0,8.25807358470675,27.598930702703484
E07000149,2235,300000.0,338101.6460850112,240000.0,South Norfolk,E12000006,East of England,280000.0,29114.0,10.304320945249708,13.31788865768794
E07000170,1858,200000.0,218756.75349838537,157125.0,Ashfield,E12000004,East Midlands,170000.0,29136.0,6.86436024162548,26.30763362114309
E07000171,1888,205250.0,237120.53866525425,156000.0,Bassetlaw,E12000004,East Midlands,179000.0,26888.0,7.633516810473074,22.58807907438831
E07000172,1586,250000.0,280061.6822194199,195037.5,Broxtowe,E12000004,East Midlands,215000.0,27113.0,9.220669051746397,14.238203251160174
E07000173,1916,255000.0,280491.66075156577,200000.0,Gedling,E12000004,East Midlands,210000.0,26135.0,9.75703080160704,14.89400433090527
E07000174,1450,190000.0,211708.0848275862,147500.0,Mansfield,E12000004,East Midlands,162000.0,26761.0,7.099884159784762,28.503084959730284
E07000175,2017,237350.0,276154.5954387704,173000.0,Newark and Sherwood,E12000004,East Midlands,215747.5,26911.0,8.819813459180262,19.226734654910516
E07000176,2078,348000.0,386454.7834456208,260000.0,Rushcliffe,E12000004,East Midlands,290000.0,28689.0,12.13008470145352,7.1802094413958075
E07000177,2221,350000.0,393623.1031067087,270000.0,Cherwell,E12000008,South East,325000.0,33207.0,10.53994639684404,14.410383403491819
E07000178,1270,460000.0,599548.5102362204,360000.0,Oxford,E12000008,South East,430000.0,38779.0,11.862090306609248,16.706607952635792
E07000179,2314,445000.0,539570.5522904062,345000.0,South Oxfordshire,E12000008,South East,425000.0,36315.0,12.253889577309652,8.458925659785733
E07000180,2305,400000.0,449349.378308026,311000.0,Vale of White Horse,E12000008,South East,365000.0,38134.0,10.489327109665917,8.357478219292839
E07000181,1588,379221.0,479945.5295969773,295000.0,West Oxfordshire,E12000008,South East,347500.0,34006.0,11.151590895724285,8.684223913303686
E07000192,1295,220000.0,234962.26486486488,176500.0,Cannock Chase,E12000005,West Midlands,192500.0,29719.0,7.4026716915104815,20.426416864656307
E07000193,1911,229995.0,265352.8890633176,165000.0,East Staffordshire,E12000005,West Midlands,205000.0,31048.0,7.407723524864726,19.028227889386216
E07000194,1714,309997.5,358450.1406067678,230000.0,Lichfield,E12000005,West Midlands,272500.0,28845.0,10.747009880395217,12.566322036390732
E07000195,1737,187500.0,221628.479562464,140000.0,Newcastle-under-Lyme,E12000005,West Midlands,168000.0,27238.0,6.883765327850797,18.92915128918597
E07000196,1331,280000.0,321570.0586025545,226750.0,South Staffordshire,E12000005,West Midlands,250000.0,28259.0,9.908347783007184,13.12376863765068
E07000197,2004,247500.0,280282.7230538922,185500.0,Stafford,E12000005,West Midlands,220000.0,28523.0,8.677207867335133,13.6776203286782
E07000198,1399,225400.0,249941.1765546819,170000.0,Staffordshire Moorlands,E12000005,West Midlands,190000.0,26204.0,8.601740192337047,15.040029868883261
E07000199,1104,240000.0,254349.29981884055,187375.0,Tamworth,E12000005,West Midlands,215000.0,28143.0,8.527875493017802,21.061077060745966
E07000200,1383,325000.0,371658.6558206797,255000.0,Babergh,E12000006,East of England,315000.0,25785.0,12.604227263913128,14.26682001112347
E07000202,1652,240000.0,251911.55508474572,185000.0,Ipswich,E12000006,East of England,223000.0,30605.0,7.841855905897729,25.890312250352224
E07000203,1923,318000.0,354111.6588663547,250000.0,Mid Suffolk,E12000006,East of England,290000.0,32413.0,9.810878351278808,13.225204616412803
E07000207,2069,655000.0,899618.4770420493,450000.0,Elmbridge,E12000008,South East,650000.0,30000.0,21.83333333333333,7.943852494128421
E07000208,974,535000.0,578105.5092402464,378250.0,Epsom and Ewell,E12000008,South East,526250.0,33824.0,15.81717123935667,8.8330345785697
E07000209,1848,500000.0,630679.9134199134,380000.0,Guildford,E12000008,South East,475000.0,38027.0,13.148552344386882,9.39513981739827
E07000210,1194,580000.0,648339.7981574539,375000.0,Mole Valley,E12000008,South East,550000.0,39893.0,14.53889153485574,9.511189300742716
E07000211,2099,490000.0,574799.502143878,350000.0,Reigate and Banstead,E12000008,South East,450000.0,39073.0,12.54062907890359,11.276083673797201
E07000212,1122,464000.0,591828.9376114082,350000.0,Runnymede,E12000008,South East,440000.0,40000.0,11.6,12.012295521931478
E07000213,1314,450000.0,475822.00304414006,349050.0,Spelthorne,E12000008,South East,420000.0,32237.0,13.959115302292396,14.942642317252055
E07000214,1242,470000.0,526215.6747181965,350000.0,Surrey Heath,E12000008,South East,440000.0,36632.0,12.830312295260974,8.065892043191825
